FORMAT = Name, Type, Ra, Dec, I, Q, U, V, ReferenceFrequency='60e6', SpectralIndex='[0.0]', MajorAxis, MinorAxis, Orientation

# the next lines define the sources
1949.2+4849, POINT, 19:49:16.10880000, +48.49.52.28400000, 3.7778, , , , , [-0.4605]
1951.4+4852, POINT, 19:51:24.17040000, +48.52.34.39200000, 3.3334, , , , , [-0.9174]
2009.2+5022, GAUSSIAN, 20:09:15.18960000, +50.22.47.71200000, 8.7431, , , , , [-0.5749], 54.9, 51.0, 94.0
2012.8+4708, POINT, 20:12:53.62080000, +47.08.21.01200000, 4.4343, , , , , [-0.6862]
2013.0+4708, POINT, 20:13:05.78880000, +47.08.59.49600000, 3.5277, , , , , [-0.6938]
2014.5+4953, POINT, 20:14:30.29040000, +49.53.01.78800000, 2.36, , , , , [-0.7]
2015.1+4847, POINT, 20:15:11.82000000, +48.47.49.30800000, 2.12, , , , , [-0.7]
2015.5+4958, POINT, 20:15:30.06960000, +49.58.10.88400000, 1.64, , , , , [-0.7]
2020.5+4740, POINT, 20:20:34.08000000, +47.40.28.81200000, 2.42, , , , , [-0.7]
2026.2+4655, POINT, 20:26:16.08960000, +46.55.30.39600000, 8.9207, , , , , [-0.7955]
2030.2+4545, POINT, 20:30:15.00000000, +45.45.38.48400000, 4.91, , , , , [-0.7]
2032.9+4704, POINT, 20:32:58.69920000, +47.04.36.58800000, 4.47, , , , , [-0.7]
2038.4+4633, POINT, 20:38:28.66080000, +46.33.06.69600000, 4.78, , , , , [-0.7]
