FORMAT = Name, Type, Ra, Dec, I, Q, U, V, ReferenceFrequency='60e6', SpectralIndex='[0.0]', MajorAxis, MinorAxis, Orientation

# the next lines define the sources
1905.0+0701, POINT, 19:05:03.16080000, +07.01.37.88400000, 3.0893, , , , , [-0.859]
1907.4+0708, GAUSSIAN, 19:07:29.82000000, +07.08.47.79600000, 34.6, , , , , [-0.7], 128.2, 79.1, 20.9
1907.6+0707, GAUSSIAN, 19:07:38.16960000, +07.07.45.58800000, 29.87, , , , , [-0.7], 118.8, 100.3, 66.0
1911.8+0458, POINT, 19:11:50.08080000, +04.58.51.60000000, 4.77, , , , , [-0.7]
1911.8-0014, POINT, 19:11:50.89920000, -00.14.23.78400000, 3.27, , , , , [-0.7]
1912.1+0708, POINT, 19:12:06.02880000, +07.08.17.59200000, 2.4986, , , , , [-1.0139]
1912.8+0430, POINT, 19:12:52.86000000, +04.30.59.79600000, 3.0842, , , , , [-0.7415]
1913.3+0401, POINT, 19:13:21.83040000, +04.01.24.09600000, 7.0144, , , , , [-1.1511]
1913.4+0343, GAUSSIAN, 19:13:26.47920000, +03.43.10.59600000, 6.2, , , , , [-0.7], 79.1, 51.1, 119.4
1915.1+0515, POINT, 19:15:08.94960000, +05.15.44.20800000, 2.6392, , , , , [-0.7397]
1915.2-0042, POINT, 19:15:16.81920000, -00.42.53.20800000, 1.83, , , , , [-0.7]
1917.8+0621, POINT, 19:17:48.67920000, +06.21.20.41200000, 22.3742, , , , , [-0.8554]
1918.3+0643, GAUSSIAN, 19:18:18.46080000, +06.43.57.79200000, 5.7295, , , , , [-0.9445], 57.5, 60.0, 46.5
1918.8+0304, POINT, 19:18:49.88880000, +03.04.55.99200000, 5.41, , , , , [-0.7]
1918.8+0409, POINT, 19:18:51.24000000, +04.09.05.68800000, 1.85, , , , , [-0.7]
1919.1+0539, POINT, 19:19:09.37920000, +05.39.24.58800000, 2.4253, , , , , [-0.8719]
1919.5+0518, POINT, 19:19:34.21920000, +05.18.28.11600000, 7.3195, , , , , [-0.7992]
1920.0+0120, POINT, 19:20:04.44960000, +01.20.23.31600000, 1.86, , , , , [-0.7]
1920.2-0041, POINT, 19:20:15.76080000, -00.41.09.88800000, 1.67, , , , , [-0.7]
1920.6-0005, POINT, 19:20:37.38000000, -00.05.37.21200000, 2.56, , , , , [-0.7]
1920.7+0322, POINT, 19:20:44.62080000, +03.22.09.98400000, 1.9, , , , , [-0.7]
1920.8+0420, POINT, 19:20:49.02960000, +04.20.53.01600000, 3.0021, , , , , [-0.8346]
1921.2+0500, POINT, 19:21:12.55920000, +05.00.54.68400000, 1.4824, , , , , [-0.6999]
1922.2+0114, POINT, 19:22:12.54000000, +01.14.17.91600000, 2.08, , , , , [-0.7]
1922.6+0333, POINT, 19:22:39.12000000, +03.33.18.10800000, 2.36, , , , , [-0.7]
1922.7+0451, POINT, 19:22:44.10960000, +04.51.24.08400000, 7.4296, , , , , [-0.6668]
1922.8+0230, POINT, 19:22:49.45920000, +02.30.51.08400000, 1.5962, , , , , [-0.7287]
1922.8+0539, POINT, 19:22:52.19040000, +05.39.39.49200000, 1.49, , , , , [-0.7]
1923.0+0115, POINT, 19:23:05.59920000, +01.15.07.41600000, 1.82, , , , , [-0.7]
1923.7+0141, POINT, 19:23:46.21920000, +01.41.22.88400000, 1.56, , , , , [-0.7]
1924.0+0236, POINT, 19:24:00.12960000, +02.36.40.10400000, 1.67, , , , , [-0.7]
1924.1+0445, POINT, 19:24:07.14000000, +04.45.49.78800000, 4.3734, , , , , [-0.8491]
1924.2+0423, POINT, 19:24:17.45040000, +04.23.58.59600000, 1.5504, , , , , [-0.6953]
1925.3+0519, POINT, 19:25:20.39040000, +05.19.10.70400000, 1.6296, , , , , [-0.7926]
1925.8+0529, POINT, 19:25:51.40080000, +05.29.31.48800000, 1.6076, , , , , [-0.7627]
1926.1+0036, POINT, 19:26:06.49920000, +00.36.21.38400000, 2.18, , , , , [-0.7]
1926.1+0034, POINT, 19:26:06.52080000, +00.34.18.01200000, 3.79, , , , , [-0.7]
1926.2+0517, POINT, 19:26:13.14960000, +05.17.38.68800000, 1.3798, , , , , [-1.2572]
1926.3+0014, POINT, 19:26:23.03040000, +00.14.12.40800000, 1.5341, , , , , [-0.5393]
1927.2+0351, POINT, 19:27:15.30960000, +03.51.16.48800000, 1.93, , , , , [-0.7]
1928.2+0422, POINT, 19:28:14.92080000, +04.22.18.19200000, 1.44, , , , , [-0.7]
1928.7+0303, POINT, 19:28:42.36000000, +03.03.14.40000000, 1.36, , , , , [-0.7]
