FORMAT = Name, Type, Ra, Dec, I, Q, U, V, ReferenceFrequency='60e6', SpectralIndex='[0.0]', MajorAxis, MinorAxis, Orientation

# the next lines define the sources
1911.8-0014, POINT, 19:11:50.89920000, -00.14.23.78400000, 3.27, , , , , [-0.7]
1912.8+0430, POINT, 19:12:52.86000000, +04.30.59.79600000, 3.0842, , , , , [-0.7415]
1913.3+0401, POINT, 19:13:21.83040000, +04.01.24.09600000, 7.0144, , , , , [-1.1511]
1913.4+0343, GAUSSIAN, 19:13:26.47920000, +03.43.10.59600000, 6.2, , , , , [-0.7], 79.1, 51.1, 119.4
1915.2-0042, POINT, 19:15:16.81920000, -00.42.53.20800000, 1.83, , , , , [-0.7]
1916.0-0338, POINT, 19:16:01.03920000, -03.38.00.38400000, 2.48, , , , , [-0.7]
1916.8-0335, POINT, 19:16:48.01920000, -03.35.39.98400000, 3.16, , , , , [-0.7]
1917.7-0257, POINT, 19:17:44.76000000, -02.57.10.58400000, 2.73, , , , , [-0.7]
1918.1-0153, GAUSSIAN, 19:18:11.15040000, -01.53.37.10400000, 9.86, , , , , [-0.7], 41.9, 51.3, 12.4
1918.8+0304, POINT, 19:18:49.88880000, +03.04.55.99200000, 5.41, , , , , [-0.7]
1918.8+0409, POINT, 19:18:51.24000000, +04.09.05.68800000, 1.85, , , , , [-0.7]
1920.0+0120, POINT, 19:20:04.44960000, +01.20.23.31600000, 1.86, , , , , [-0.7]
1920.2-0041, POINT, 19:20:15.76080000, -00.41.09.88800000, 1.67, , , , , [-0.7]
1920.6-0005, POINT, 19:20:37.38000000, -00.05.37.21200000, 2.56, , , , , [-0.7]
1920.7+0322, POINT, 19:20:44.62080000, +03.22.09.98400000, 1.9, , , , , [-0.7]
1920.8+0420, POINT, 19:20:49.02960000, +04.20.53.01600000, 3.0021, , , , , [-0.8346]
1921.2+0500, POINT, 19:21:12.55920000, +05.00.54.68400000, 1.4824, , , , , [-0.6999]
1922.2+0114, POINT, 19:22:12.54000000, +01.14.17.91600000, 2.08, , , , , [-0.7]
1922.6+0333, POINT, 19:22:39.12000000, +03.33.18.10800000, 2.36, , , , , [-0.7]
1922.7+0451, POINT, 19:22:44.10960000, +04.51.24.08400000, 7.4296, , , , , [-0.6668]
1922.8+0230, POINT, 19:22:49.45920000, +02.30.51.08400000, 1.5962, , , , , [-0.7287]
1923.0+0115, POINT, 19:23:05.59920000, +01.15.07.41600000, 1.82, , , , , [-0.7]
1923.7+0141, POINT, 19:23:46.21920000, +01.41.22.88400000, 1.56, , , , , [-0.7]
1924.0+0236, POINT, 19:24:00.12960000, +02.36.40.10400000, 1.67, , , , , [-0.7]
1924.1+0445, POINT, 19:24:07.14000000, +04.45.49.78800000, 4.3734, , , , , [-0.8491]
1924.2+0423, POINT, 19:24:17.45040000, +04.23.58.59600000, 1.5504, , , , , [-0.6953]
1924.3-0309, POINT, 19:24:21.26880000, -03.09.16.59600000, 1.36, , , , , [-0.7]
1926.1+0036, POINT, 19:26:06.49920000, +00.36.21.38400000, 2.18, , , , , [-0.7]
1926.1+0034, POINT, 19:26:06.52080000, +00.34.18.01200000, 3.79, , , , , [-0.7]
1926.3+0014, POINT, 19:26:23.03040000, +00.14.12.40800000, 1.5341, , , , , [-0.5393]
1927.2+0351, POINT, 19:27:15.30960000, +03.51.16.48800000, 1.93, , , , , [-0.7]
1927.3-0032, POINT, 19:27:22.54080000, -00.32.25.40400000, 1.26, , , , , [-0.7]
1927.7-0339, POINT, 19:27:46.08000000, -03.39.11.41200000, 1.52, , , , , [-0.7]
1928.2+0422, POINT, 19:28:14.92080000, +04.22.18.19200000, 1.44, , , , , [-0.7]
1928.4-0241, POINT, 19:28:25.68960000, -02.41.36.60000000, 1.34, , , , , [-0.7]
1928.4-0106, POINT, 19:28:27.12000000, -01.06.51.69600000, 1.95, , , , , [-0.7]
1928.7+0303, POINT, 19:28:42.36000000, +03.03.14.40000000, 1.36, , , , , [-0.7]
1929.6+0317, POINT, 19:29:41.81040000, +03.17.18.20400000, 2.07, , , , , [-0.7]
1930.0-0308, POINT, 19:30:02.62080000, -03.08.41.10000000, 1.4285, , , , , [-1.2894]
1932.1-0233, POINT, 19:32:11.83920000, -02.33.12.70800000, 1.7, , , , , [-0.7]
1932.4-0044, POINT, 19:32:26.66880000, -00.44.55.28400000, 1.33, , , , , [-0.7]
1933.5-0032, POINT, 19:33:35.04000000, -00.32.37.28400000, 1.419, , , , , [-0.8795]
1934.6-0038, POINT, 19:34:36.70080000, -00.38.45.81600000, 1.31, , , , , [-0.7]
1935.1-0025, POINT, 19:35:11.03040000, -00.25.14.30400000, 1.33, , , , , [-0.7]
1936.0+0023, POINT, 19:36:01.87920000, +00.23.03.30000000, 1.47, , , , , [-0.7]
1936.0-0132, POINT, 19:36:03.30960000, -01.32.05.10000000, 1.46, , , , , [-0.7]
1936.8-0022, POINT, 19:36:53.76960000, -00.22.07.10400000, 14.19, , , , , [-0.7]
1937.1-0155, POINT, 19:37:08.10960000, -01.55.50.30400000, 2.35, , , , , [-0.7]
1940.0-0028, POINT, 19:40:02.52960000, -00.28.32.48400000, 1.73, , , , , [-0.7]
